system:index,AOD,NDVI,OSI,Risk_Level,Temp,Year,.geo
"8588,3166",708.1837837837838,0.34037445991358617,737.250482494602,High,29.407073170731735,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.14731660018451,28.440661895224054],[77.1562997530257,28.440661895224054],[77.1562997530257,28.449645048065246],[77.14731660018451,28.449645048065246],[77.14731660018451,28.440661895224054]]]}"
"8589,3166",720.0082191780822,0.37315954622254405,748.9860352416158,High,29.35097560975612,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1562997530257,28.440661895224054],[77.1652829058669,28.440661895224054],[77.1652829058669,28.449645048065246],[77.1562997530257,28.449645048065246],[77.1562997530257,28.440661895224054]]]}"
"8590,3166",722.8082191780821,0.4025844930417495,751.6656346850405,High,29.260000000000048,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1652829058669,28.440661895224054],[77.1742660587081,28.440661895224054],[77.1742660587081,28.449645048065246],[77.1652829058669,28.449645048065246],[77.1652829058669,28.440661895224054]]]}"
"8591,3166",721.9539295392954,0.347574139302352,751.2630220666598,High,29.656666666666695,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1742660587081,28.440661895224054],[77.1832492115493,28.440661895224054],[77.1832492115493,28.449645048065246],[77.1742660587081,28.449645048065246],[77.1742660587081,28.440661895224054]]]}"
"8592,3166",723.6972972972973,0.2945205479452055,753.4035084566691,High,30.000731707317073,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1832492115493,28.440661895224054],[77.19223236439049,28.440661895224054],[77.19223236439049,28.449645048065246],[77.1832492115493,28.449645048065246],[77.1832492115493,28.440661895224054]]]}"
"8593,3166",722.939393939394,0.30906064704046604,752.773991828939,High,30.143658536585406,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.19223236439049,28.440661895224054],[77.20121551723167,28.440661895224054],[77.20121551723167,28.449645048065246],[77.19223236439049,28.449645048065246],[77.19223236439049,28.440661895224054]]]}"
"8594,3166",724.068306010929,0.3045708955223881,753.7503204812602,High,29.98658536585367,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.20121551723167,28.440661895224054],[77.21019867007287,28.440661895224054],[77.21019867007287,28.449645048065246],[77.20121551723167,28.449645048065246],[77.20121551723167,28.440661895224054]]]}"
"8595,3166",720.8617886178862,0.3188709478614569,750.3568201090492,High,29.81390243902439,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21019867007287,28.440661895224054],[77.21918182291407,28.440661895224054],[77.21918182291407,28.449645048065246],[77.21019867007287,28.449645048065246],[77.21019867007287,28.440661895224054]]]}"
"8596,3166",711.9252077562327,0.3034739454094293,741.1610021035062,High,29.539268292682948,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21918182291407,28.440661895224054],[77.22816497575526,28.440661895224054],[77.22816497575526,28.449645048065246],[77.21918182291407,28.449645048065246],[77.21918182291407,28.440661895224054]]]}"
"8597,3166",704.8173913043478,0.3618043507273455,733.5084440964777,High,29.052857142857192,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.22816497575526,28.440661895224054],[77.23714812859646,28.440661895224054],[77.23714812859646,28.449645048065246],[77.22816497575526,28.449645048065246],[77.22816497575526,28.440661895224054]]]}"
"8598,3166",704.8173913043478,0.3672048997772829,733.5030435474276,High,29.052857142857192,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.23714812859646,28.440661895224054],[77.24613128143766,28.440661895224054],[77.24613128143766,28.449645048065246],[77.23714812859646,28.449645048065246],[77.23714812859646,28.440661895224054]]]}"
"8583,3167",716.7547169811321,0.46695023394300306,744.674839917921,High,28.387073170731753,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.10240083597853,28.449645048065246],[77.11138398881972,28.449645048065246],[77.11138398881972,28.458628200906443],[77.10240083597853,28.458628200906443],[77.10240083597853,28.449645048065246]]]}"
"8584,3167",704.8575581395348,0.42131324004305704,733.118440021443,High,28.68219512195128,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.11138398881972,28.449645048065246],[77.12036714166092,28.449645048065246],[77.12036714166092,28.458628200906443],[77.11138398881972,28.458628200906443],[77.11138398881972,28.449645048065246]]]}"
"8585,3167",704.8575581395348,0.3145056617285055,733.2252475997576,High,28.68219512195128,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.12036714166092,28.449645048065246],[77.12935029450212,28.449645048065246],[77.12935029450212,28.458628200906443],[77.12036714166092,28.458628200906443],[77.12036714166092,28.449645048065246]]]}"
"8586,3167",723.7724719101124,0.35805693392530685,752.4063197380917,High,28.991904761904777,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.12935029450212,28.449645048065246],[77.13833344734331,28.449645048065246],[77.13833344734331,28.458628200906443],[77.12935029450212,28.458628200906443],[77.12935029450212,28.449645048065246]]]}"
"8587,3167",733.2,0.30782587126379757,762.0293169858791,High,29.13714285714292,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.13833344734331,28.449645048065246],[77.14731660018451,28.449645048065246],[77.14731660018451,28.458628200906443],[77.13833344734331,28.458628200906443],[77.13833344734331,28.449645048065246]]]}"
"8588,3167",728.6803278688525,0.34119670721218825,757.7310359235452,High,29.39190476190481,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.14731660018451,28.449645048065246],[77.1562997530257,28.449645048065246],[77.1562997530257,28.458628200906443],[77.14731660018451,28.458628200906443],[77.14731660018451,28.449645048065246]]]}"
"8589,3167",729.5940054495912,0.3730669375776047,758.9377677803063,High,29.716829268292713,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1562997530257,28.449645048065246],[77.1652829058669,28.449645048065246],[77.1652829058669,28.458628200906443],[77.1562997530257,28.458628200906443],[77.1562997530257,28.449645048065246]]]}"
"8590,3167",729.75,0.44790928419560594,758.8930663255605,High,29.59097560975613,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1652829058669,28.449645048065246],[77.1742660587081,28.449645048065246],[77.1742660587081,28.458628200906443],[77.1652829058669,28.458628200906443],[77.1652829058669,28.449645048065246]]]}"
"8591,3167",729.2284122562675,0.36140819964349374,758.2722421518621,High,29.405238095238133,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1742660587081,28.449645048065246],[77.1832492115493,28.449645048065246],[77.1832492115493,28.458628200906443],[77.1742660587081,28.458628200906443],[77.1742660587081,28.449645048065246]]]}"
"8592,3167",731.8,0.2824593916930121,761.4870528034289,High,29.96951219512198,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.1832492115493,28.449645048065246],[77.19223236439049,28.449645048065246],[77.19223236439049,28.458628200906443],[77.1832492115493,28.458628200906443],[77.1832492115493,28.449645048065246]]]}"
"8593,3167",734.5,0.3615350089766607,763.954806454438,High,29.816341463414687,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.19223236439049,28.449645048065246],[77.20121551723167,28.449645048065246],[77.20121551723167,28.458628200906443],[77.19223236439049,28.458628200906443],[77.19223236439049,28.449645048065246]]]}"
"8594,3167",726.3005617977528,0.3424462141923214,755.6578716811215,High,29.69975609756102,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.20121551723167,28.449645048065246],[77.21019867007287,28.449645048065246],[77.21019867007287,28.458628200906443],[77.20121551723167,28.458628200906443],[77.20121551723167,28.449645048065246]]]}"
"8595,3167",718.9473684210526,0.3039420361046297,748.2607434581187,High,29.617317073170796,2020,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[77.21019867007287,28.449645048065246],[77.21918182291407,28.449645048065246],[77.21918182291407,28.458628200906443],[77.21019867007287,28.458628200906443],[77.21019867007287,28.449645048065246]]]}"
